n,Gender,Age,Education,Language,MultiLg,condition ,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,op20,op21,op22,op23,op24,op25,op26,op27,op28,op29,op30,check_item
,Gender - Selected Choice,Age (years):,What is the highest level of education you have completed?,Is English your native language?,"Based on the number of languages you are fluent in, do you consider yourself:",1,Name a wild animal:,Name a female world leader:,Name a popular dance:,Name a landmark:,Name a typical snack:,Name a male singer:,Name a typical drink:,Name a city:,Name a piece of art:,Name a newspaper:,Name a sport player (any sport):,Name a world leader:,Name a building:,Name a book:,Name a television broadcasting organisation:,Name a male football player:,Name a cartoon:,Name a recognisable chocolate brand:,Name a music band:,Name a date in the year:,Name a mountain:,Name a currency:,Name a typical celebration:,Name a female singer:,Name a beach:,Name a flight company:,Name a typical dish:,Name a typical flower:,Name a sport:,Name a tourist city:,Name the current president of the United States:
1,Male,57,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),British,lion,Angela Merkel,tango,Buckingham Palace,crisps,George Michael,Cola,London,Sunflower,Telegraph,David Beckham,Boris Johnson,White House,life of pi,BBC,jordon pickford,Tom and Jerry,Mars,Coldplay,31/12/2021,Everest,Pound,Birthday,Adele,Long Beach,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
2,Female,51,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,fox,Angela Merkel,samba,taj mahal,crisps,lionel ritchie,Cola,London,Mona Lisa,The Sun,Marcus Rashford,Joe Biden,westminister abbey,The Bible,BBC,Harry Kane,Tom and Jerry,Cadbury,The Beatles,25/12/2021,Everest,Pound,Birthday,Adele,Bondi,Easyjet,shepards pie,Rose,Football,Paris,Joe Biden 
3,Female,46,Secondary school degree or equivalent (e.g. A levels),Yes,Bilingual (2),British,elephant,Angela Merkel,waltz,Buckingham Palace,crisps,Justin Bieber,Wine,London,Mona Lisa,The Sun,Marcus Rashford,Joe Biden,Eiffel Tower,The Bible,BBC,Harry Kane,Tom and Jerry,Cadbury,The Beatles,25/12/2021,Everest,Pound,Christmas,Taylor Swift,Brighton,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
4,I prefer not say,34,Secondary school degree or equivalent (e.g. A levels),No,Bilingual (2),British,cat,Hillary Clinton,tango,Machu Pico,crisps,Justin Bieber,Milk,Budapest,Sunflower,The Sun,Andy Murray,Boris Johnson,Gherkin,Oliver Twist,BBC,Harry Kane,Teletubbies,Cadbury,The Beatles,1111,Snowdon,Pound,Christmas,Lady Gaga,Miami Beach,British Airways,Fish and chips,Rose,Football,London,Joe Biden 
5,Female,20,Secondary school degree or equivalent (e.g. A levels),Yes,Bilingual (2),British,fox,Hillary Clinton,dab,London,crisps,Justin Bieber,Water,London,Mona Lisa,The Sunday,Mo Farah,Donald Trump,Big Ben,Harry Potter,BBC,Harry Kane,Horrid Henry,Cadbury,Little Mix,27/02/2021,Everest,Pound,Christmas,Adele,Brighton,Easyjet,English Breakfast,Daisy,Football,London,Joe Biden 
6,Male,37,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,wolf,Angela Merkel,Macarena,big ben,crisps,Elvis,Cola,London,Mona Lisa,The Sun,Cristiano Ronaldo,Boris Johnson,Empire State Building,The Bible,BBC,Harry Kane,The Simpsons,Cadbury,The Beatles,22/02/2021,Ben Nevis,Pound,Christmas,Adele,Bondi,British Airways,Fish and chips,Daffodil,Football,London,Joe Biden 
7,Female,21,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),British,Racoon ,Priti Patel,waltz,big ben,crisps,Ed Sheeran,Cola,London,Mona Lisa,Daily Mail,Harry Kane,Joe Biden,Empire State Building,The Bible,BBC,Harry Kane,Spongebob Squarepants,Cadbury,Oasis,08/07/2021,Everest,Pound,Christmas,Lady Gaga,Brighton,Ryanair,Fish and chips,Rose,Football,London,Joe Biden 
8,Female,27,"Doctoral degree (e.g., PhD, MD, etc.)",Yes,Monolingual (1),British,bear,Not sure,Floss,Eiffel Tower,crisps,Michael Jackson,Coffee,Glasgow,Mona Lisa,Daily Mail,Andy Murray,Donald Trump,Buckingham Palace,The Bible,BBC,Harry Kane,Looney tunes,Cadbury,Oasis,23/07/2021,Everest,Pound,Birthday,Mariah Carey,Blackpool,Easyjet,Fish and chips,Daisy,Football,London,Joe Biden 
9,Male,66,"Doctoral degree (e.g., PhD, MD, etc.)",Yes,Monolingual (1),British,tiger,Jacinda Ardern,tango,trafalgar square,nachos,Tom Jones,Cola,London,Mona Lisa,Daily Mail,football,Joe Biden,Buckingham Palace,Harry Potter,BBC,wayne rooney,Tom and Jerry,Cadbury,Oasis,25/12/2021,Everest,Euro,Christmas,Tina Turner,Bondi,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
10,Male,33,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),British,seagull,Angela Merkel,Twerk,London Eye,crisps,Ed Sheeran,Cola,London,The Scream,The Guardian,Harry Kane,Joe Biden,The Shard,The Bible,BBC,Harry Kane,Tom and Jerry,Cadbury,Oasis,01/01/2021,Everest,Pound,Cheer,Beyonce,Bondi,Easyjet,Fish and chips,Daffodil,cricket,London,Joe Biden 
11,Female,40,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,fox,Angela Merkel,samba,Tower Bridge,Biscuits,David bowie,Tea,London,Mona Lisa,The Sun,Lewis Hamilton,Joe Biden,Buckingham Palace,It ,BBC,Harry Kane,Tom and Jerry,Cadbury,Slayer,25/12/2021,Everest,Pound,Christmas,Adele,Cornwall,DHL,Roast dinner,Lily,Football,Bath,Joe Biden 
12,Female,45,"Bachelor's degree (e.g., Bsc, BA)",No,Bilingual (2),British,bear,Hillary Clinton,waltz,Paris,crisps,Rod Stewart,Coffee,London,Mona Lisa,The Times,football,Donald Trump,White House,Winnie the pooh,BBC,David Beckham,The Simpsons,Cadbury,Queen,05/11/2021,Ben Nevis,Euro,Birthday,Adele,Blackpool,British Airways,lasagne,Rose,Football,Paris,Joe Biden 
13,Male,32,"Master's degree (e.g., MA, Mac)",Yes,Multilingual (more than 2),British,fox,Angela Merkel,tango,big ben,crisps,Frank Sinatra,Cola,London,Mona Lisa,The Times,Lampard,Donald Trump,Gherkin,Harry Potter,BBC,David Beckham,Tom and Jerry,Cadbury,U2,25/12/2021,Everest,Pound,Easter,Dolly Parton,Miami Beach,British Airways,Fish and chips,Daisy,cricket,Blackpool,Joe Biden 
14,Female,40,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,lion,Angela Merkel,latino,stonehenge ,crisps,Robbie Williams,Cola,London,Mona Lisa,The Times,David Beckham,Barack OBama,Empire State Building,Harry Potter,BBC,Cristiano Ronaldo,The Simpsons,Dairy Milk,The Beatles,25/12/2021,Ben Nevis,Pound,Christmas,Beyonce,Copacabana,Easyjet,Fish and chips,Rose,Football,London,Joe Biden 
15,Male,25,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),British,tiger,Beyonce ,salsa,Great wall of China,Pizza,Justin Bieber,Cola,London,Mona Lisa,Punch,David Beckham,Joe Biden,White House,The Bible,BBC,David Beckham,Spongebob Squarepants,Cadbury,Wetheband,25/12/2021,Snowdon,Euro,New year ,Beyonce,Cornwall,Arik,Fish and chips,Rose,Football,Dubai ,Joe Biden 
16,Female,18,Secondary school degree or equivalent (e.g. A levels),Yes,Bilingual (2),British,fox,Kaja kallas ,Renegade ,London Eye,crisps,Michael Jackson,Cola,London,Starry Night,Metro,Messi,Boris Johnson,The Shard,Harry Potter,ITV,Lionel Messi,Looney tunes,Cadbury,BTS,25/09/2021,Everest,Pound,Christmas,Lady Gaga,Hawaii,British Airways,Fish and chips,Lily,Football,London,Joe Biden 
17,Female,31,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),British,tiger,Angela Merkel,tango,stonehenge ,crisps,Robbie Williams,Cola,London,Mona Lisa,The Times,Marcus Rashford,Joe Biden,Empire State Building,Harry Potter,BBC,michael rashford,Mickey Mouse,Cadbury,Coldplay,25/12/2021,Everest,Pound,Christmas,Adele,Bondi,Easyjet,lasagne,Rose,Football,London,Joe Biden 
18,Male,38,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,lion,Angela Merkel,tango,big ben,Biscuits,Ed Sheeran,Tea,London,Mona Lisa,The Times,football,Joe Biden,Buckingham Palace,The Bible,BBC,Harry Kane,Flintstones,Dairy Milk,The Beatles,25/12/2021,Everest,Pound,Christmas,Madonna,Brighton,British Airways,Fish and chips,Daisy,Football,Paris,Joe Biden 
19,Female,37,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,lion,Angela Merkel,conga,Eiffel Tower,crisps,Tom Jones,Cola,cardiff,Mona Lisa,Daily Mail,David Beckham,Joe Biden,The Shard,The Bible,BBC,Harry Kane,Peppa Pig,Cadbury,take that,14/02/2021,Everest,Pound,Christmas,whitney houston,Bondi,British Airways,lasagne,Daisy,Football,Paris,Joe Biden 
20,Male,48,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),British,tiger,Angela Merkel,tango,Pyramids at Giza,crisps,Elton John,Tea,London,Mona Lisa,The Sun,Andy Murray,Boris Johnson,Buckingham Palace,The Bible,BBC,Harry Kane,Spongebob Squarepants,Dairy Milk,The Beatles,25/12/2021,Everest,Pound,Christmas,Madonna,Weymouth,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
